yOrder
CXCL10_CXCR3
CXCL11_CXCR3
CXCL2_DPP4
CXCL10_DPP4
CXCL11_DPP4
CCL3L1_DPP4
CCL3L1_CCR1
CCL3_CCR1
CCL2_CCR2
CCL3_CCR5
CCL4_CCR5
TNFSF10_RIPK1
CCL4_SLC7A1
CSF1_SLC7A1
CCL4L2_VSIR
C5AR1_RPS19
PECAM1_CD38
CD74_APP
SIRPA_CD47
LGALS9_SLC1A5
LGALS9_SORL1
CD74_COPA
CD74_MIF
LGALS9_HAVCR2
LGALS9_CD47
LGALS9_LRP1
LGALS9_CD44
HLA-C_FAM3C
CCR1_CCL18
CCR5_CCL7
CCR1_CCL7
CCR2_CCL7
CCR5_CCL8
CCR1_CCL8
CCR2_CCL8
CTLA4_CD86
CTLA4_CD80
PDCD1_CD274
TIGIT_NECTIN2
PDCD1_FAM3C
